model;kms;img;title;link;price;year;maker;cc;type
2015;7500;http://mco-s1-p.mlstatic.com/yamaha-r3-deportiva-barata-ganga-nueva-buena-economica-azul-766221-MCO20739999682_052016-O.jpg;Yamaha R3 Deportiva Barata Ganga Nueva Buena Economica Azul;http://articulo.tumoto.com.co/MCO-423503038-yamaha-r3-deportiva-barata-ganga-nueva-buena-economica-azul-_JM; 16700000;2015;Yamaha;251 cc - 500 cc;Deportivas / Naked
Fazer 150;59000;http://mco-s2-p.mlstatic.com/yamaha-fazer-150-126-cc-250-cc-408221-MCO20741727596_052016-O.jpg;Yamaha Fazer 150 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423565429-yamaha-fazer-150-126-cc-250-cc-_JM; 4500000;2012;Yamaha;126 cc - 250 cc;De Calle
YFM700;5000;http://mco-s2-p.mlstatic.com/yamaha-yfm700-501-cc-o-mas-688221-MCO20737161197_052016-O.jpg;Yamaha Yfm700 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423423068-yamaha-yfm700-501-cc-o-mas-_JM; 19900000;2008;Yamaha;501 cc o más;Cuatriciclos y Triciclos
SZR 153cc;24000;http://mco-s2-p.mlstatic.com/yamaha-szr-153cc-126-cc-250-cc-813321-MCO20736075391_052016-O.jpg;Yamaha Szr 153cc 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423396508-yamaha-szr-153cc-126-cc-250-cc-_JM; 3600000;2014;Yamaha;126 cc - 250 cc;De Calle
FZ1-S;41000;http://mco-s2-p.mlstatic.com/yamaha-fz1-s-501-cc-o-mas-856221-MCO20741530623_052016-O.jpg;Yamaha Fz1-s 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423554912-yamaha-fz1-s-501-cc-o-mas-_JM; 25500000;2010;Yamaha;501 cc o más;Deportivas / Naked
XT 600;10000;http://mco-s2-p.mlstatic.com/yamaha-xt-600-501-cc-o-mas-725221-MCO20735471597_052016-O.jpg;Yamaha Xt 600 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423376063-yamaha-xt-600-501-cc-o-mas-_JM; 9400000;2003;Yamaha;501 cc o más;Enduro, Cross y Trial
TRICITY 125;5150;http://mco-s1-p.mlstatic.com/yamaha-tricity-125-051-cc-125-cc-821321-MCO20736953824_052016-O.jpg;Yamaha Tricity 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423418594-yamaha-tricity-125-051-cc-125-cc-_JM; 10500000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT-660 R ;25500;http://mco-s1-p.mlstatic.com/yamaha-501-cc-o-mas-2014-820321-MCO20737920293_052016-O.jpg;Yamaha 501 Cc O Más 2014;http://articulo.tumoto.com.co/MCO-423440721-yamaha-501-cc-o-mas-2014-_JM; 20500000;2014;Yamaha;501 cc o más;Otros Tipos
2016;3533;http://mco-s2-p.mlstatic.com/yamaha-2016-501-cc-o-mas-989221-MCO20734628004_052016-O.jpg;Yamaha 2016 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423357850-yamaha-2016-501-cc-o-mas-_JM; 43000000;2017;Yamaha;501 cc o más;Deportivas / Naked
BWS;2000;http://mco-s1-p.mlstatic.com/yamaha-bws-051-cc-125-cc-539221-MCO20734656889_052016-O.jpg;Yamaha Bws 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423358127-yamaha-bws-051-cc-125-cc-_JM; 7000000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
BWS 125;8000;http://mco-s1-p.mlstatic.com/yamaha-bws-125-051-cc-125-cc-878221-MCO20736949949_052016-O.jpg;Yamaha Bws 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423418543-yamaha-bws-125-051-cc-125-cc-_JM; 6600000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
LIBERO 125;5500;http://mco-s2-p.mlstatic.com/yamaha-libero-125-remolque-272321-MCO20733480025_052016-O.jpg;Yamaha Libero 125 Remolque;http://articulo.tumoto.com.co/MCO-423322133-yamaha-libero-125-remolque-_JM; 5600000;2015;Yamaha;051 cc - 125 cc;De Calle
BWS;25000;http://mco-s2-p.mlstatic.com/yamaha-bws-2015-051-cc-125-cc-729221-MCO20737226195_052016-O.jpg;Yamaha Bws 2015 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423424359-yamaha-bws-2015-051-cc-125-cc-_JM; 6100000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
2014;9739;http://mco-s2-p.mlstatic.com/yamaha-bws-2014-9739-km-997221-MCO20739535911_052016-O.jpg;Yamaha Bws 2014 9739 Km;http://articulo.tumoto.com.co/MCO-423488533-yamaha-bws-2014-9739-km-_JM; 6000000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT 660 R;36000;http://mco-s2-p.mlstatic.com/yamaha-xt-660-r-501-cc-o-mas-199221-MCO20737383343_052016-O.jpg;Yamaha Xt 660 R 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423426641-yamaha-xt-660-r-501-cc-o-mas-_JM; 20500000;2015;Yamaha;501 cc o más;Enduro, Cross y Trial
2007;37000;http://mco-s2-p.mlstatic.com/fazer-1000-naked-308221-MCO20742178709_052016-O.jpg;Fazer 1.000 Naked;http://articulo.tumoto.com.co/MCO-423577936-fazer-1000-naked-_JM; 19500000;2007;Yamaha;501 cc o más;Deportivas / Naked
XJ6 600cc;23000;http://mco-s2-p.mlstatic.com/yamaha-xj6-600cc-501-cc-o-mas-598221-MCO20737932797_052016-O.jpg;Yamaha Xj6 600cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423440867-yamaha-xj6-600cc-501-cc-o-mas-_JM; 19500000;2011;Yamaha;501 cc o más;Deportivas / Naked
FZ 2.0;5700;http://mco-s2-p.mlstatic.com/yamaha-fz-20-126-cc-250-cc-500321-MCO20738549343_052016-O.jpg;Yamaha Fz 2.0 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423459359-yamaha-fz-20-126-cc-250-cc-_JM; 6900000;2016;Yamaha;126 cc - 250 cc;De Calle
FZ 150;12500;http://mco-s2-p.mlstatic.com/yamaha-fz-160-419221-MCO20741863616_052016-O.jpg;Yamaha Fz-160;http://articulo.tumoto.com.co/MCO-423571862-yamaha-fz-160-_JM; 5800000;2012;Yamaha;126 cc - 250 cc;De Calle
R6R;37649;http://mco-s1-p.mlstatic.com/yamaha-r6r-501-cc-o-mas-396221-MCO20736165270_052016-O.jpg;Yamaha R6r 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423397835-yamaha-r6r-501-cc-o-mas-_JM; 25900000;2009;Yamaha;501 cc o más;Deportivas / Naked
XTZ 250;21000;http://mco-s1-p.mlstatic.com/yamaha-xtz-250-126-cc-250-cc-620321-MCO20735582031_052016-O.jpg;Yamaha Xtz 250 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423380873-yamaha-xtz-250-126-cc-250-cc-_JM; 11350000;2013;Yamaha;126 cc - 250 cc;Enduro, Cross y Trial
R15 YZF;38717;http://mco-s2-p.mlstatic.com/yamaha-r15-yzf-126-cc-250-cc-297221-MCO20733825532_052016-O.jpg;Yamaha R15 Yzf 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423335026-yamaha-r15-yzf-126-cc-250-cc-_JM; 5900000;2010;Yamaha;126 cc - 250 cc;Deportivas / Naked
FZ 16 153cc;70000;http://mco-s1-p.mlstatic.com/yamaha-fz-16-153cc-126-cc-250-cc-303221-MCO20736065431_052016-O.jpg;Yamaha Fz 16 153cc 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423396175-yamaha-fz-16-153cc-126-cc-250-cc-_JM; 3950000;2011;Yamaha;126 cc - 250 cc;De Calle
BWS II X 125;620;http://mco-s2-p.mlstatic.com/yamaha-bws-ii-x-125-051-cc-125-cc-196221-MCO20735627130_052016-O.jpg;Yamaha Bws Ii X 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423383092-yamaha-bws-ii-x-125-051-cc-125-cc-_JM; 6900000;2016;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
BWS 125 X EDICI?N ESPECIAL;6150;http://mco-s1-p.mlstatic.com/yamaha-bws-125-x-051-cc-125-cc-848221-MCO20733003384_052016-O.jpg;Yamaha Bws 125 X 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423313648-yamaha-bws-125-x-051-cc-125-cc-_JM; 5800000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
FZ 1000;25000;http://mco-s2-p.mlstatic.com/yamaha-fz-1000-501-cc-o-mas-407811-MCO20638280638_032016-O.jpg;Yamaha Fz 1000 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423348624-yamaha-fz-1000-501-cc-o-mas-_JM; 22500000;2009;Yamaha;501 cc o más;Deportivas / Naked
Virago;14772;http://mco-s1-p.mlstatic.com/yamaha-virago-501-cc-o-mas-961811-MCO20645855643_032016-O.jpg;Yamaha Virago 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423458708-yamaha-virago-501-cc-o-mas-_JM; 16500000;1996;Yamaha;501 cc o más;Custom / Chopper
FZ 153;26000;http://mco-s1-p.mlstatic.com/yamaha-fz-153-126-cc-250-cc-602711-MCO20624898651_032016-O.jpg;Yamaha Fz 153 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423513128-yamaha-fz-153-126-cc-250-cc-_JM; 5200000;2014;Yamaha;126 cc - 250 cc;De Calle
R1;14100;http://mco-s1-p.mlstatic.com/yamaha-r1-501-cc-o-mas-839801-MCO20426112602_092015-O.jpg;Yamaha R1 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423442534-yamaha-r1-501-cc-o-mas-_JM; 32000000;2012;Yamaha;501 cc o más;Deportivas / Naked
R6 S;46900;http://mco-s2-p.mlstatic.com/yamaha-r6-s-501-cc-o-mas-446111-MCO20488485117_112015-O.jpg;Yamaha R6 S 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423519842-yamaha-r6-s-501-cc-o-mas-_JM; 23800000;2009;Yamaha;501 cc o más;Deportivas / Naked
FZ15 FAZER;24;http://mco-s1-p.mlstatic.com/yamaha-fz15-fazer-126-cc-250-cc-437021-MCO20694412358_042016-O.jpg;Yamaha Fz15 Fazer 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422681661-yamaha-fz15-fazer-126-cc-250-cc-_JM; 6500000;2016;Yamaha;126 cc - 250 cc;De Calle
FAZER 600;20000;http://mco-s2-p.mlstatic.com/fazer-600-s2-abs-480121-MCO20680605463_042016-O.jpg;Fazer 600 S2 Abs;http://articulo.tumoto.com.co/MCO-422193199-fazer-600-s2-abs-_JM; 19000000;2008;Yamaha;501 cc o más;Deportivas / Naked
TT;200;http://mco-s2-p.mlstatic.com/yamaha-tt-500-clasica-modificada-760221-MCO20722917773_052016-O.jpg;Yamaha Tt 500 Clasica Modificada;http://articulo.tumoto.com.co/MCO-423096060-yamaha-tt-500-clasica-modificada-_JM; 13500000;1981;Yamaha;501 cc o más;Deportivas / Naked
YZ450F;160;http://mco-s1-p.mlstatic.com/yamaha-yz450f-modelo-2014-104121-MCO20716975178_052016-O.jpg;Yamaha Yz450f Modelo 2014;http://articulo.tumoto.com.co/MCO-422977275-yamaha-yz450f-modelo-2014-_JM; 18700000;2014;Yamaha;251 cc - 500 cc;Enduro, Cross y Trial
SZ 16R 153Cc;36000;http://mco-s1-p.mlstatic.com/yamaha-sz-16r-153cc-126-cc-250-cc-252321-MCO20731958943_052016-O.jpg;Yamaha Sz 16r 153cc 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423276621-yamaha-sz-16r-153cc-126-cc-250-cc-_JM; 3990000;2014;Yamaha;126 cc - 250 cc;De Calle
FZ 16;32000;http://mco-s1-p.mlstatic.com/yamaha-fz-16-126-cc-250-cc-791221-MCO20723505460_052016-O.jpg;Yamaha Fz 16 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423117623-yamaha-fz-16-126-cc-250-cc-_JM; 5200000;2014;Yamaha;126 cc - 250 cc;De Calle
XT 600;72000;http://mco-s1-p.mlstatic.com/yamaha-xt-600-501-cc-o-mas-484121-MCO20716668822_052016-O.jpg;Yamaha Xt 600 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422973477-yamaha-xt-600-501-cc-o-mas-_JM; 9300000;2003;Yamaha;501 cc o más;Enduro, Cross y Trial
2000;23673;http://mco-s1-p.mlstatic.com/yamaha-2000-501-cc-o-mas-315021-MCO20696161043_052016-O.jpg;Yamaha 2000 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422713322-yamaha-2000-501-cc-o-mas-_JM; 9000000;2000;Yamaha;501 cc o más;Enduro, Cross y Trial
XT 500;42000;http://mco-s1-p.mlstatic.com/yamaha-xt-500-501-cc-o-mas-639021-MCO20693389817_042016-O.jpg;Yamaha Xt 500 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422653225-yamaha-xt-500-501-cc-o-mas-_JM; 19500000;1979;Yamaha;501 cc o más;Clásicas
1200 V-MAX;45000;http://mco-s1-p.mlstatic.com/yamaha-1200-v-max-501-cc-o-mas-463121-MCO20719487388_052016-O.jpg;Yamaha 1200 V-max 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423055937-yamaha-1200-v-max-501-cc-o-mas-_JM; 20000000;1987;Yamaha;501 cc o más;Deportivas / Naked
STRATO LINER;27584;http://mco-s2-p.mlstatic.com/yamaha-strato-liner-501-cc-o-mas-430121-MCO20691234202_042016-O.jpg;Yamaha Strato Liner 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422600261-yamaha-strato-liner-501-cc-o-mas-_JM; 45000000;2007;Yamaha;501 cc o más;Custom / Chopper
FZ1 S 1000;27100;http://mco-s1-p.mlstatic.com/yamaha-fz1-s-1000-501-cc-o-mas-827711-MCO20609129592_022016-O.jpg;Yamaha Fz1 S 1000 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422651243-yamaha-fz1-s-1000-501-cc-o-mas-_JM; 26200000;2012;Yamaha;501 cc o más;Deportivas / Naked
1998;156000;http://mco-s1-p.mlstatic.com/yamaha-xt-600e-1998-101021-MCO20691929309_042016-O.jpg;Yamaha Xt-600e 1998;http://articulo.tumoto.com.co/MCO-422617115-yamaha-xt-600e-1998-_JM; 9500000;1998;Yamaha;501 cc o más;Enduro, Cross y Trial
XT660R;1500;http://mco-s1-p.mlstatic.com/yamaha-xt-660-501-cc-o-mas-941321-MCO20732085180_052016-O.jpg;Yamaha Xt 660 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423279795-yamaha-xt-660-501-cc-o-mas-_JM; 22800000;2016;Yamaha;501 cc o más;Enduro, Cross y Trial
Yamaha R6R ;30000;http://mco-s2-p.mlstatic.com/r6r-modelo-2012-665121-MLA20712447747_052016-O.jpg;R6r Modelo 2012;http://articulo.tumoto.com.co/MCO-421941557-r6r-modelo-2012-_JM; 30500000;2012;Yamaha;501 cc o más;Deportivas / Naked
RAPTOR 700 R;9080;http://mco-s2-p.mlstatic.com/yamaha-raptor-700-r-501-cc-o-mas-265221-MCO20731436650_052016-O.jpg;Yamaha Raptor 700 R 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423268649-yamaha-raptor-700-r-501-cc-o-mas-_JM; 21700000;2012;Yamaha;501 cc o más;Cuatriciclos y Triciclos
FINO;6280;http://mco-s1-p.mlstatic.com/yamaha-fino-051-cc-125-cc-333121-MCO20710678808_052016-O.jpg;Yamaha Fino 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422900087-yamaha-fino-051-cc-125-cc-_JM; 5100000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
MT 07;22400;http://mco-s1-p.mlstatic.com/yamaha-mt-07-501-cc-o-mas-360321-MCO20732001501_052016-O.jpg;Yamaha Mt 07 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423277954-yamaha-mt-07-501-cc-o-mas-_JM; 26000000;2014;Yamaha;501 cc o más;Deportivas / Naked
Raptor 700cc;100;http://mco-s2-p.mlstatic.com/yamaha-raptor-700cc-501-cc-o-mas-833021-MCO20681184005_042016-O.jpg;Yamaha Raptor 700cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422207143-yamaha-raptor-700cc-501-cc-o-mas-_JM; 17000000;2009;Yamaha;501 cc o más;Cuatriciclos y Triciclos
BWS;12000;http://mco-s1-p.mlstatic.com/yamaha-126-cc-250-cc-2010-676021-MCO20678148416_042016-O.jpg;Yamaha 126 Cc - 250 Cc 2010;http://articulo.tumoto.com.co/MCO-422121297-yamaha-126-cc-250-cc-2010-_JM; 8700000;2010;Yamaha;126 cc - 250 cc;Scooters y Ciclomotores
BWS;14000;http://mco-s2-p.mlstatic.com/yamaha-bws-051-cc-125-cc-308911-MCO20672130087_042016-O.jpg;Yamaha Bws 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-421978446-yamaha-bws-051-cc-125-cc-_JM; 6500000;2011;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
FZ6R;22000;http://mco-s2-p.mlstatic.com/yamaha-fz6r-blanca-511221-MLA20717408131_052016-O.jpg;Yamaha Fz6r Blanca;http://articulo.tumoto.com.co/MCO-422917497-yamaha-fz6r-blanca-_JM; 21000000;2009;Yamaha;501 cc o más;Deportivas / Naked
BWS Motard X;19500;http://mco-s1-p.mlstatic.com/yamaha-bws-motard-x-051-cc-125-cc-233321-MCO20731086836_052016-O.jpg;Yamaha Bws Motard X 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423254917-yamaha-bws-motard-x-051-cc-125-cc-_JM; 6400000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
YAMAHA R6 2013;16400;http://mco-s1-p.mlstatic.com/yamaha-r6-2013-754121-MLA20725159725_052016-O.jpg;Yamaha R6 2013;http://articulo.tumoto.com.co/MCO-423125756-yamaha-r6-2013-_JM; 30000000;2013;Yamaha;501 cc o más;Deportivas / Naked
XTZ;6700;http://mco-s1-p.mlstatic.com/yamaha-xtz-051-cc-125-cc-357221-MCO20732727590_052016-O.jpg;Yamaha Xtz 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423305442-yamaha-xtz-051-cc-125-cc-_JM; 6600000;2015;Yamaha;051 cc - 125 cc;De Calle
FZ- 150cc;9900;http://mco-s1-p.mlstatic.com/yamaha-fz-150cc-126-cc-250-cc-602121-MCO20718707745_052016-O.jpg;Yamaha Fz- 150cc 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423007407-yamaha-fz-150cc-126-cc-250-cc-_JM; 5300000;2013;Yamaha;126 cc - 250 cc;De Calle
FZ16;52000;http://mco-s1-p.mlstatic.com/yamaha-fz16-126-cc-250-cc-463221-MCO20730445773_052016-O.jpg;Yamaha Fz16 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423244588-yamaha-fz16-126-cc-250-cc-_JM; 5100000;2013;Yamaha;126 cc - 250 cc;De Calle
Towny;4000;http://mco-s2-p.mlstatic.com/yamaha-towny-0-50-cc-173121-MCO20725810456_052016-O.jpg;Yamaha Towny 0 - 50 Cc;http://articulo.tumoto.com.co/MCO-423152165-yamaha-towny-0-50-cc-_JM; 2900000;1984;Yamaha;0 - 50 cc;Clásicas
Fazer 16;17000;http://mco-s1-p.mlstatic.com/yamaha-fazer-16-482121-MCO20712304474_052016-O.jpg;Yamaha Fazer 16;http://articulo.tumoto.com.co/MCO-422826414-yamaha-fazer-16-_JM; 5800000;2015;Yamaha;126 cc - 250 cc;Deportivas / Naked
MT07;7700;http://mco-s2-p.mlstatic.com/yamaha-mt07-501-cc-o-mas-290321-MCO20728765148_052016-O.jpg;Yamaha Mt07 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423213736-yamaha-mt07-501-cc-o-mas-_JM; 26500000;2015;Yamaha;501 cc o más;Deportivas / Naked
R1;17864;http://mco-s1-p.mlstatic.com/yamaha-r1-501-cc-o-mas-714121-MCO20725678137_052016-O.jpg;Yamaha R1 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423151145-yamaha-r1-501-cc-o-mas-_JM; 25000000;2004;Yamaha;501 cc o más;Deportivas / Naked
CALIBMATIC;1;http://mco-s1-p.mlstatic.com/yamaha-calibmatic-126-cc-250-cc-963121-MCO20703203221_052016-O.jpg;Yamaha Calibmatic 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422809934-yamaha-calibmatic-126-cc-250-cc-_JM; 6000000;1978;Yamaha;126 cc - 250 cc;De Calle
FZ 600;56000;http://mco-s1-p.mlstatic.com/yamaha-fz-600-501-cc-o-mas-987221-MCO20728828356_052016-O.jpg;Yamaha Fz 600 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423214740-yamaha-fz-600-501-cc-o-mas-_JM; 17500000;2008;Yamaha;501 cc o más;Deportivas / Naked
FZ16;18102;http://mco-s2-p.mlstatic.com/yamaha-fz16-126-cc-250-cc-659121-MCO20705283077_052016-O.jpg;Yamaha Fz16 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422840523-yamaha-fz16-126-cc-250-cc-_JM; 5600000;2012;Yamaha;126 cc - 250 cc;De Calle
XT 350 JAPONESA;3600;http://mco-s2-p.mlstatic.com/yamaha-xt-350-japonesa-251-cc-500-cc-369511-MCO20577492155_022016-O.jpg;Yamaha Xt 350 Japonesa 251 Cc - 500 Cc;http://articulo.tumoto.com.co/MCO-421782900-yamaha-xt-350-japonesa-251-cc-500-cc-_JM; 11200000;1998;Yamaha;251 cc - 500 cc;Enduro, Cross y Trial
XT500;400;http://mco-s1-p.mlstatic.com/yamaha-xt500-501-cc-o-mas-584801-MCO20405584139_092015-O.jpg;Yamaha Xt500 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422706735-yamaha-xt500-501-cc-o-mas-_JM; 12000000;1978;Yamaha;501 cc o más;Clásicas
2015;3000;http://mco-s1-p.mlstatic.com/yamaha-501-cc-o-mas-2015-732321-MCO20735565504_052016-O.jpg;Yamaha 501 Cc O Más 2015;http://articulo.tumoto.com.co/MCO-423265770-yamaha-501-cc-o-mas-2015-_JM; 46000000;2015;Yamaha;501 cc o más;Touring
XJ6-N;45000;http://mco-s2-p.mlstatic.com/yamaha-xj6-n-501-cc-o-mas-530221-MCO20711882009_052016-O.jpg;Yamaha Xj6-n 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422914126-yamaha-xj6-n-501-cc-o-mas-_JM; 19800000;2011;Yamaha;501 cc o más;Deportivas / Naked
XTZ;29702;http://mco-s2-p.mlstatic.com/yamaha-xtz-125-modelo-2014-839221-MCO20727688066_052016-O.jpg;Yamaha Xtz 125 Modelo 2014;http://articulo.tumoto.com.co/MCO-423188243-yamaha-xtz-125-modelo-2014-_JM; 5200000;2014;Yamaha;051 cc - 125 cc;De Calle
BWS X;19000;http://mco-s1-p.mlstatic.com/bws-x-2014-458021-MCO20696588822_052016-O.jpg;Bws X 2014;http://articulo.tumoto.com.co/MCO-422721208-bws-x-2014-_JM; 5500000;2014;Yamaha;126 cc - 250 cc;Scooters y Ciclomotores
XTZ 125;13200;http://mco-s1-p.mlstatic.com/yamaha-xtz-125-051-cc-125-cc-156121-MCO20703235552_052016-O.jpg;Yamaha Xtz 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422810294-yamaha-xtz-125-051-cc-125-cc-_JM; 6100000;2015;Yamaha;051 cc - 125 cc;De Calle
FZ 16;40000;http://mco-s1-p.mlstatic.com/yamaha-fz-16-2011-135021-MCO20698449448_052016-O.jpg;Yamaha Fz 16 2011;http://articulo.tumoto.com.co/MCO-422748157-yamaha-fz-16-2011-_JM; 4500000;2011;Yamaha;126 cc - 250 cc;De Calle
FZ 150;10900;http://mco-s1-p.mlstatic.com/yamaha-fz-150-126-cc-250-cc-949021-MCO20699536630_052016-O.jpg;Yamaha Fz 150 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422765220-yamaha-fz-150-126-cc-250-cc-_JM; 6300000;2016;Yamaha;126 cc - 250 cc;De Calle
MT09 TRACER;4085;http://mco-s1-p.mlstatic.com/yamaha-mt09-tracer-816021-MCO20691786273_042016-O.jpg;Yamaha Mt09 Tracer;http://articulo.tumoto.com.co/MCO-422614005-yamaha-mt09-tracer-_JM; 35500000;2015;Yamaha;501 cc o más;Touring
FZ1;21855;http://mco-s2-p.mlstatic.com/yamaha-fz1-1000cc-modelo-2011-942121-MLA20712557491_052016-O.jpg;Yamaha Fz1 1000cc Modelo 2011;http://articulo.tumoto.com.co/MCO-421969645-yamaha-fz1-1000cc-modelo-2011-_JM; 24000000;2011;Yamaha;501 cc o más;Deportivas / Naked
BWS 160;31000;http://mco-s2-p.mlstatic.com/yamaha-bws-160-126-cc-250-cc-959811-MCO20662406339_042016-O.jpg;Yamaha Bws 160 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421722639-yamaha-bws-160-126-cc-250-cc-_JM; 6200000;2013;Yamaha;126 cc - 250 cc;Scooters y Ciclomotores
DT 125;1998;http://mco-s1-p.mlstatic.com/yamaha-dt-125-051-cc-125-cc-950121-MCO20696237676_052016-O.jpg;Yamaha Dt 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422783310-yamaha-dt-125-051-cc-125-cc-_JM; 4300000;1998;Yamaha;051 cc - 125 cc;Enduro, Cross y Trial
Virago 750;75900;http://mco-s1-p.mlstatic.com/yamaha-virago-750-501-cc-o-mas-152601-MCO20367845882_082015-O.jpg;Yamaha Virago 750 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421572250-yamaha-virago-750-501-cc-o-mas-_JM; 18000000;1998;Yamaha;501 cc o más;Cuatriciclos y Triciclos
R6;33000;http://mco-s1-p.mlstatic.com/yamaha-501-cc-o-mas-2010-790911-MLA20654285799_042016-O.jpg;Yamaha 501 Cc O Más 2010;http://articulo.tumoto.com.co/MCO-421534454-yamaha-501-cc-o-mas-2010-_JM; 31500000;2010;Yamaha;501 cc o más;Enduro, Cross y Trial
MT 09 900CC;23000;http://mco-s1-p.mlstatic.com/yamaha-mt-09-900cc-501-cc-o-mas-281221-MCO20710701875_052016-O.jpg;Yamaha Mt 09 900cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-422900266-yamaha-mt-09-900cc-501-cc-o-mas-_JM; 29100000;2015;Yamaha;501 cc o más;Deportivas / Naked
RAPTOR 700CC;1;http://mco-s2-p.mlstatic.com/yamaha-raptor-700cc-501-cc-o-mas-576911-MCO20669330406_042016-O.jpg;Yamaha Raptor 700cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421925426-yamaha-raptor-700cc-501-cc-o-mas-_JM; 15500000;2008;Yamaha;501 cc o más;Cuatriciclos y Triciclos
XS-650;10;http://mco-s1-p.mlstatic.com/yamaha-xs-650-501-cc-o-mas-368511-MCO20577322825_022016-O.jpg;Yamaha Xs-650 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421696954-yamaha-xs-650-501-cc-o-mas-_JM; 15000000;1973;Yamaha;501 cc o más;Custom / Chopper
TTR50;40;http://mco-s1-p.mlstatic.com/yamaha-ttr50-0-50-cc-974221-MCO20730880230_052016-O.jpg;Yamaha Ttr50 0 - 50 Cc;http://articulo.tumoto.com.co/MCO-423252412-yamaha-ttr50-0-50-cc-_JM; 3500000;2012;Yamaha;0 - 50 cc;Enduro, Cross y Trial
2013;13495;http://mco-s2-p.mlstatic.com/yamaha-125-verde-991121-MLA20725357037_052016-O.jpg;Yamaha 125 Verde;http://articulo.tumoto.com.co/MCO-422898861-yamaha-125-verde-_JM; 5100000;2013;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
