model;kms;img;title;link;price;year;maker;cc;type
NKD 125;001;http://mco-s2-p.mlstatic.com/akt-nkd-125-051-cc-125-cc-281321-MCO20732734831_052016-O.jpg;Akt Nkd 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423305579-akt-nkd-125-051-cc-125-cc-_JM; 3000000;2014;Akt;051 cc - 125 cc;De Calle
TT 250 ADVENTURE ;5000;http://mco-s1-p.mlstatic.com/akt-tt-250-adventure-126-cc-250-cc-311321-MCO20727290691_052016-O.jpg;Akt Tt 250 Adventure 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423183559-akt-tt-250-adventure-126-cc-250-cc-_JM; 9500000;2016;Akt;126 cc - 250 cc;De Calle
AKT TT;42300;http://mco-s1-p.mlstatic.com/akt-tt-150-552221-MCO20727282689_052016-O.jpg;Akt Tt 150;http://articulo.tumoto.com.co/MCO-423183804-akt-tt-150-_JM; 1900000;2012;Akt;126 cc - 250 cc;Enduro, Cross y Trial
JET SR;340;http://mco-s2-p.mlstatic.com/akt-jet-sr-126-cc-250-cc-789221-MCO20731915941_052016-O.jpg;Akt Jet Sr 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423274478-akt-jet-sr-126-cc-250-cc-_JM; 4800000;2016;Akt;126 cc - 250 cc;Scooters y Ciclomotores
JET 5;6400;http://mco-s1-p.mlstatic.com/akt-jet-5-126-cc-250-cc-900321-MCO20732152542_052016-O.jpg;Akt Jet 5 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423282880-akt-jet-5-126-cc-250-cc-_JM; 4800000;2016;Akt;126 cc - 250 cc;Scooters y Ciclomotores
Dinamique R;4000;http://mco-s1-p.mlstatic.com/akt-dinamique-r-051-cc-125-cc-338221-MCO20727301814_052016-O.jpg;Akt Dinamique R 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423183713-akt-dinamique-r-051-cc-125-cc-_JM; 4200000;2015;Akt;051 cc - 125 cc;Scooters y Ciclomotores
250RANCHERA;1;http://mco-s2-p.mlstatic.com/akt-126-cc-250-cc-2010-192021-MCO20693383726_042016-O.jpg;Akt 126 Cc - 250 Cc 2010;http://articulo.tumoto.com.co/MCO-422653153-akt-126-cc-250-cc-2010-_JM; 9500000;2010;Akt;126 cc - 250 cc;Cuatriciclos y Triciclos
DYNAMIC R 125;11200;http://mco-s2-p.mlstatic.com/akt-dynamic-r-125-2015-818121-MCO20717228634_052016-O.jpg;Akt Dynamic R 125 2015;http://articulo.tumoto.com.co/MCO-422980968-akt-dynamic-r-125-2015-_JM; 4100000;2015;Akt;051 cc - 125 cc;Scooters y Ciclomotores
ECONE 125;7443;http://mco-s2-p.mlstatic.com/akt-econe-125-051-cc-125-cc-763021-MCO20689529976_042016-O.jpg;Akt Econe 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422540734-akt-econe-125-051-cc-125-cc-_JM; 2700000;2015;Akt;051 cc - 125 cc;De Calle
TTX;750;http://mco-s1-p.mlstatic.com/akt-ttx-126-cc-250-cc-174021-MCO20680206116_042016-O.jpg;Akt Ttx 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422184273-akt-ttx-126-cc-250-cc-_JM; 5400000;2016;Akt;126 cc - 250 cc;Enduro, Cross y Trial
2011;2600;http://mco-s2-p.mlstatic.com/akt-2011-126-cc-250-cc-999121-MCO20703178639_052016-O.jpg;Akt 2011 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422809732-akt-2011-126-cc-250-cc-_JM; 2200000;2011;Akt;126 cc - 250 cc;De Calle
ADVENTURE 250;16148;http://mco-s1-p.mlstatic.com/akt-adventure-250-126-cc-250-cc-844021-MCO20686895808_042016-O.jpg;Akt Adventure 250 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422656083-akt-adventure-250-126-cc-250-cc-_JM; 8100000;2016;Akt;126 cc - 250 cc;De Calle
Jet 5 R 150cc;10000;http://mco-s2-p.mlstatic.com/akt-jet-5-r-150cc-2014-195911-MLA20668446854_042016-O.jpg;Akt Jet 5 R 150cc 2014;http://articulo.tumoto.com.co/MCO-421639967-akt-jet-5-r-150cc-2014-_JM; 4000000;2014;Akt;126 cc - 250 cc;Scooters y Ciclomotores
Jet 125;15600;http://mco-s2-p.mlstatic.com/akt-jet-125-051-cc-125-cc-679021-MCO20684090138_042016-O.jpg;Akt Jet 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422280839-akt-jet-125-051-cc-125-cc-_JM; 3200000;2013;Akt;051 cc - 125 cc;Scooters y Ciclomotores
AK 250 Aventure;23000;http://mco-s1-p.mlstatic.com/akt-ak-250-aventure-126-cc-250-cc-447221-MCO20730414951_052016-O.jpg;Akt Ak 250 Aventure 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423243529-akt-ak-250-aventure-126-cc-250-cc-_JM; 7900000;2016;Akt;126 cc - 250 cc;De Calle
TTR125;6766;http://mco-s2-p.mlstatic.com/akt-ttr125-051-cc-125-cc-503411-MCO20549911127_012016-O.jpg;Akt Ttr125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423102346-akt-ttr125-051-cc-125-cc-_JM; 3650000;2014;Akt;051 cc - 125 cc;Enduro, Cross y Trial
NE;40500;http://mco-s2-p.mlstatic.com/akt-ne-126-cc-250-cc-374021-MCO20696642535_052016-O.jpg;Akt Ne 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422722352-akt-ne-126-cc-250-cc-_JM; 2300000;2012;Akt;126 cc - 250 cc;De Calle
2012;22000;http://mco-s1-p.mlstatic.com/akt-ak-125w-flex-ultra-953911-MCO20663755401_042016-O.jpg;Akt Ak 125w - Flex Ultra;http://articulo.tumoto.com.co/MCO-421751175-akt-ak-125w-flex-ultra-_JM; 2600000;2012;Akt;051 cc - 125 cc;De Calle
TT 250;3600;http://mco-s1-p.mlstatic.com/akt-126-cc-250-cc-2016-704911-MCO20667268899_042016-O.jpg;Akt 126 Cc - 250 Cc 2016;http://articulo.tumoto.com.co/MCO-421829041-akt-126-cc-250-cc-2016-_JM; 8500000;2016;Akt;126 cc - 250 cc;De Calle
JET5R;3359;http://mco-s1-p.mlstatic.com/akt-jet5r-126-cc-250-cc-711911-MCO20663216029_042016-O.jpg;Akt Jet5r 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421734672-akt-jet5r-126-cc-250-cc-_JM; 4300000;2015;Akt;126 cc - 250 cc;Scooters y Ciclomotores
